time,event_types,replanning_count,destroyed_target_ids,disappeared_target_ids,damaged_uav_ids,available_target_count,available_uav_count,completed_cluster_count,total_cluster_count,metadata
30.0,[],0,[],[],[],20,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {2: 'en_route', 0: 'en_route', 1: 'en_route'}, 'cluster_positions': {2: [3.8589600013615892, -137600.0000585519], 0: [3.857246945088049, -137600.00008620677], 1: [7.880063395212372, -137600.00000299682]}, 'uav_status_counts': {'en_route': 7, 'available': 34}}"
60.0,[],0,[],[],[],20,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {2: 'en_route', 0: 'en_route', 1: 'en_route'}, 'cluster_positions': {2: [4.384586669389846, -135200.00011710383], 0: [3.214493890176098, -135200.00017241354], 1: [7.760126790424744, -135200.00000599364]}, 'uav_status_counts': {'en_route': 7, 'available': 34}}"
90.0,[],0,[],[],[],20,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {2: 'en_route', 0: 'en_route', 1: 'en_route'}, 'cluster_positions': {2: [4.910213337418102, -132800.00017565573], 0: [2.5717408352641478, -132800.0002586203], 1: [7.640190185637116, -132800.00000899046]}, 'uav_status_counts': {'en_route': 7, 'available': 34}}"
120.0,[],0,[],[],[],20,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {2: 'en_route', 0: 'en_route', 1: 'en_route'}, 'cluster_positions': {2: [5.435840005446359, -130400.00023420765], 0: [1.9289877803521969, -130400.00034482707], 1: [7.520253580849488, -130400.0000119873]}, 'uav_status_counts': {'en_route': 7, 'available': 34}}"
150.0,[],0,[],[],[],20,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {2: 'en_route', 0: 'en_route', 1: 'en_route'}, 'cluster_positions': {2: [5.9614666734746145, -128000.00029275955], 0: [1.2862347254402464, -128000.00043103386], 1: [7.40031697606186, -128000.00001498414]}, 'uav_status_counts': {'en_route': 7, 'available': 34}}"
180.0,[],0,[],[],[],20,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {2: 'en_route', 0: 'en_route', 1: 'en_route'}, 'cluster_positions': {2: [6.48709334150287, -125600.00035131145], 0: [0.6434816705282957, -125600.00051724064], 1: [7.280380371274232, -125600.00001798097]}, 'uav_status_counts': {'en_route': 7, 'available': 34}}"
210.0,[],0,[],[],[],20,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {2: 'en_route', 0: 'en_route', 1: 'en_route'}, 'cluster_positions': {2: [7.012720009531127, -123200.00040986335], 0: [0.0007286156163450741, -123200.0006034474], 1: [7.160443766486604, -123200.00002097781]}, 'uav_status_counts': {'en_route': 7, 'available': 34}}"
240.0,[],0,[],[],[],20,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {2: 'en_route', 0: 'en_route', 1: 'en_route'}, 'cluster_positions': {2: [7.538346677559384, -120800.00046841527], 0: [-0.6420244392956056, -120800.00068965417], 1: [7.040507161698976, -120800.00002397464]}, 'uav_status_counts': {'en_route': 7, 'available': 34}}"
270.0,[],0,[],[],[],20,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {2: 'en_route', 0: 'en_route', 1: 'en_route'}, 'cluster_positions': {2: [8.06397334558764, -118400.00052696717], 0: [-1.2847774942075558, -118400.00077586096], 1: [6.920570556911348, -118400.00002697148]}, 'uav_status_counts': {'en_route': 7, 'available': 34}}"
300.0,['target_disappeared'],1,[],[3],[],19,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [6.80063395212372, -116000.00002996832], 0: [-1.9275305491195065, -116000.00086206774], 2: [8.589600013615897, -116000.00058551907]}, 'uav_status_counts': {'assigned': 6, 'available': 35}}"
330.0,[],1,[],[3],[],19,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [8.675996925438518, -113600.00070770628], 0: [2.3998497597016017, -113600.00082193194], 2: [3.015448911937388, -113600.00048207045]}, 'uav_status_counts': {'en_route': 6, 'available': 35}}"
360.0,[],1,[],[3],[],19,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [7.795693830471361, -111200.00087039017], 0: [3.0568141921678365, -111200.00091400142], 2: [2.9728967241496194, -111200.00048369524]}, 'uav_status_counts': {'en_route': 6, 'available': 35}}"
390.0,[],1,[],[3],[],19,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [6.915390735504204, -108800.00103307406], 0: [3.713778624634071, -108800.00100607089], 2: [2.9303445363618508, -108800.00048532005]}, 'uav_status_counts': {'en_route': 6, 'available': 35}}"
420.0,[],1,[],[3],[],19,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {1: 'en_route', 0: 'en_route', 2: 'en_route'}, 'cluster_positions': {1: [6.035087640537046, -106400.00119575796], 0: [4.370743057100306, -106400.00109814036], 2: [2.887792348574082, -106400.00048694486]}, 'uav_status_counts': {'en_route': 6, 'available': 35}}"
