time,event_types,replanning_count,destroyed_target_ids,disappeared_target_ids,damaged_uav_ids,available_target_count,available_uav_count,completed_cluster_count,total_cluster_count,metadata
30.0,[],0,[],[],[],20,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {2: 'en_route', 0: 'en_route', 1: 'en_route'}, 'cluster_positions': {2: [3.8589600013615892, -137600.0000585519], 0: [3.857246945088049, -137600.00008620677], 1: [7.880063395212372, -137600.00000299682]}, 'uav_status_counts': {'en_route': 7, 'available': 34}}"
60.0,[],0,[],[],[],20,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {2: 'en_route', 0: 'en_route', 1: 'en_route'}, 'cluster_positions': {2: [4.384586669389846, -135200.00011710383], 0: [3.214493890176098, -135200.00017241354], 1: [7.760126790424744, -135200.00000599364]}, 'uav_status_counts': {'en_route': 7, 'available': 34}}"
90.0,[],0,[],[],[],20,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {2: 'en_route', 0: 'en_route', 1: 'en_route'}, 'cluster_positions': {2: [4.910213337418102, -132800.00017565573], 0: [2.5717408352641478, -132800.0002586203], 1: [7.640190185637116, -132800.00000899046]}, 'uav_status_counts': {'en_route': 7, 'available': 34}}"
120.0,[],0,[],[],[],20,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {2: 'en_route', 0: 'en_route', 1: 'en_route'}, 'cluster_positions': {2: [5.435840005446359, -130400.00023420765], 0: [1.9289877803521969, -130400.00034482707], 1: [7.520253580849488, -130400.0000119873]}, 'uav_status_counts': {'en_route': 7, 'available': 34}}"
150.0,[],0,[],[],[],20,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {2: 'en_route', 0: 'en_route', 1: 'en_route'}, 'cluster_positions': {2: [5.9614666734746145, -128000.00029275955], 0: [1.2862347254402464, -128000.00043103386], 1: [7.40031697606186, -128000.00001498414]}, 'uav_status_counts': {'en_route': 7, 'available': 34}}"
180.0,[],0,[],[],[],20,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {2: 'en_route', 0: 'en_route', 1: 'en_route'}, 'cluster_positions': {2: [6.48709334150287, -125600.00035131145], 0: [0.6434816705282957, -125600.00051724064], 1: [7.280380371274232, -125600.00001798097]}, 'uav_status_counts': {'en_route': 7, 'available': 34}}"
210.0,[],0,[],[],[],20,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {2: 'en_route', 0: 'en_route', 1: 'en_route'}, 'cluster_positions': {2: [7.012720009531127, -123200.00040986335], 0: [0.0007286156163450741, -123200.0006034474], 1: [7.160443766486604, -123200.00002097781]}, 'uav_status_counts': {'en_route': 7, 'available': 34}}"
240.0,[],0,[],[],[],20,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {2: 'en_route', 0: 'en_route', 1: 'en_route'}, 'cluster_positions': {2: [7.538346677559384, -120800.00046841527], 0: [-0.6420244392956056, -120800.00068965417], 1: [7.040507161698976, -120800.00002397464]}, 'uav_status_counts': {'en_route': 7, 'available': 34}}"
270.0,[],0,[],[],[],20,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {2: 'en_route', 0: 'en_route', 1: 'en_route'}, 'cluster_positions': {2: [8.06397334558764, -118400.00052696717], 0: [-1.2847774942075558, -118400.00077586096], 1: [6.920570556911348, -118400.00002697148]}, 'uav_status_counts': {'en_route': 7, 'available': 34}}"
300.0,[],0,[],[],[],20,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {2: 'en_route', 0: 'en_route', 1: 'en_route'}, 'cluster_positions': {2: [8.589600013615897, -116000.00058551907], 0: [-1.9275305491195065, -116000.00086206774], 1: [6.80063395212372, -116000.00002996832]}, 'uav_status_counts': {'en_route': 7, 'available': 34}}"
330.0,[],0,[],[],[],20,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {2: 'en_route', 0: 'en_route', 1: 'en_route'}, 'cluster_positions': {2: [9.115226681644154, -113600.00064407098], 0: [-2.5702836040314567, -113600.00094827451], 1: [6.680697347336092, -113600.00003296515]}, 'uav_status_counts': {'en_route': 7, 'available': 34}}"
360.0,[],0,[],[],[],20,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {2: 'en_route', 0: 'en_route', 1: 'en_route'}, 'cluster_positions': {2: [9.640853349672412, -111200.00070262289], 0: [-3.213036658943407, -111200.00103448128], 1: [6.560760742548464, -111200.00003596199]}, 'uav_status_counts': {'en_route': 7, 'available': 34}}"
390.0,[],0,[],[],[],20,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {2: 'en_route', 0: 'en_route', 1: 'en_route'}, 'cluster_positions': {2: [10.16648001770067, -108800.00076117479], 0: [-3.8557897138553576, -108800.00112068806], 1: [6.440824137760836, -108800.00003895882]}, 'uav_status_counts': {'en_route': 7, 'available': 34}}"
420.0,[],0,[],[],[],20,41,0,3,"{'destroyed_this_step': [], 'cluster_status': {2: 'en_route', 0: 'en_route', 1: 'en_route'}, 'cluster_positions': {2: [10.692106685728923, -106400.00081972669], 0: [-4.498542768767308, -106400.00120689484], 1: [6.320887532973208, -106400.00004195566]}, 'uav_status_counts': {'en_route': 7, 'available': 34}}"
